sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,3.521130700219457,0.34411533328794364,-3.0969409786218494,0.34411533328794364,2.908836904326875
Someone is about to be born with 2 feet.,possible,1.0,0.0,4.790935906422964,0.3807748002716632,-1.1309262070082202,0.3807748002716632,2.9398147599814153
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,3.333994924966282,-0.5233455504591052,-4.669291533552199,-0.5233455504591052,3.6883539401079295
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-0.11522185778733163,-0.1579592352922251,-3.859186179027379,-0.1579592352922251,4.363635973438983
Someone is about to clean a car.,possible,1.0,0.0,-1.734153023219912,-1.6235682889109666,-4.668023847766746,-1.6235682889109666,2.3576282642153803
Someone is about to clean a cloud.,impossible,0.05,0.95,1.926990563088998,1.2366355743408564,-1.7182988628854137,1.2366355743408564,5.432800894759811
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-0.35671624728558715,0.02913632335330474,-3.971061774482932,0.02913632335330474,2.4694181497983174
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,0.2279067007113882,0.5302879009441976,-4.523394614500806,0.5302879009441976,3.5949825322156443
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,3.290943825066374,1.6137192251923596,-1.9695164757019386,1.6137192251923596,3.8089750166044247
Someone is about to count all of the students in a room.,possible,1.0,0.0,3.0817439251218097,-0.4545350601930862,-3.810686365360269,-0.4545350601930862,5.390550375356285
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,2.289185546893811,0.915782079405551,-1.0144163617499593,0.915782079405551,4.925337976012942
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,0.5761510380593589,-1.9816241223855662,-2.1999311738087908,-1.9816241223855662,2.907049942584277
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,1.0717839850234636,-1.533246668436207,-2.6829052454260474,-1.533246668436207,3.950394387919341
Someone is about to eat a lollipop.,possible,1.0,0.0,2.0452570914083434,-0.9935268980370668,-1.7332511565997215,-0.9935268980370668,4.347901430351028
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,3.184169012930493,-0.3318000201450819,-1.8648638884669446,-0.3318000201450819,3.861731641405263
Someone is about to eat a planet.,impossible,0.025,0.975,1.3675388121677394,-0.6372586347825446,-2.1655338651048703,-0.6372586347825446,4.785716539866808
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,2.896139111308895,-0.7495241453692938,-2.562835743381366,-0.7495241453692938,4.04060336232016
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,1.859358403773656,-1.9091102550875867,-1.6128708862681802,-1.9091102550875867,2.9013739762237
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,1.6855301300459509,-1.9075554330592328,-2.8451271192600798,-1.9075554330592328,2.253487145268504
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,1.0875395794759504,-1.9882377474263695,-3.5824986225296795,-1.9882377474263695,2.5525457554987767
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,0.09971534566168216,-0.7833133281450259,-2.4397520855110013,-0.7833133281450259,2.9513431651459365
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,1.1304093680882137,0.5145630620873454,-3.2953886159379477,0.5145630620873454,4.9213451661537935
Someone is about to find a sweater in a closet.,possible,1.0,0.0,-0.4770621153442498,-1.0343140476819908,-4.9731216641059675,-1.0343140476819908,3.780423994879536
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,1.7204511723372413,-0.009213093004784012,-3.3370720854612816,-0.009213093004784012,4.358912756695782
Someone is about to have a cat as a pet.,possible,1.0,0.0,3.743082270256426,-1.3715021662426177,-3.0352851815998614,-1.3715021662426177,1.9709414573609063
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,3.3867114952363746,-0.9650194991491077,-3.4744679049171396,-0.9650194991491077,2.2928389321227822
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,4.376912058258802,0.12001451704784016,-1.6822576754560803,0.12001451704784016,3.874915087837728
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.0294117647058823,1.1460115979387742,1.0409579067514871,-3.922743758463292,1.0409579067514871,4.943304821575399
Someone is about to know the names of everyone in the world.,impossible,0.0256410256410256,0.9743589743589745,4.188013739679398,2.13017956718964,-1.8561404124887855,2.13017956718964,4.92279977483681
Someone is about to know the names of everyone they ever met.,improbable,0.5526315789473685,0.4473684210526316,3.9204195035530343,2.139414196382985,-3.26322698424004,2.139414196382985,4.445836481387377
Someone is about to live for 1000 years.,impossible,0.0,1.0,2.659462566898114,-0.06901938067541247,-1.0326183619083653,-0.06901938067541247,3.4002076874622356
Someone is about to live for 110 years.,improbable,1.0,0.0,1.8710324632065385,0.6124332623861486,-1.1171917692899034,0.6124332623861486,3.27685483718838
Someone is about to live for 60 years.,possible,1.0,0.0,2.241101990442975,0.7005353038921494,-1.476221419776624,0.7005353038921494,3.065785830284372
Someone is about to magically appear into the store.,impossible,0.0526315789473684,0.9473684210526316,-1.153205410333161,-0.010710108382489314,-4.367212337911898,-0.010710108382489314,3.764312292186461
Someone is about to make a house out of bricks.,possible,0.975,0.025,1.8926987182167063,-0.09910309787536642,-2.172103757738786,-0.09910309787536642,4.621119483266192
Someone is about to make a house out of gas.,impossible,0.0,1.0,2.334045987336535,0.3282573143066224,-3.005127459486352,0.3282573143066224,4.907859896654466
Someone is about to make a house out of grass.,improbable,0.5135135135135135,0.4864864864864865,2.8944705802289508,0.1429347756582895,-3.588625395044555,0.1429347756582895,4.598888377888363
Someone is about to make their friend cry.,improbable,1.0,0.0,1.6299196749273472,-0.11723679163181533,-5.298117612411659,-0.11723679163181533,3.8055086988634312
Someone is about to make their friend shrink.,impossible,0.0789473684210526,0.9210526315789472,2.87311972351898,0.4197657877963312,-3.943809586476722,0.4197657877963312,4.312690363190093
Someone is about to make their friend smile.,possible,1.0,0.0,2.714930352620944,1.6202456940367418,-3.408510263510727,1.6202456940367418,4.222262577752864
Someone is about to move a marble with their breath.,improbable,0.8205128205128205,0.1794871794871795,3.3103586935137903,0.38347030607512383,-0.6803845487187102,0.38347030607512383,5.4614414960941495
Someone is about to move a marble with their hand.,possible,1.0,0.0,2.8982575466667795,-0.2175885932637257,-1.0972750694198539,-0.2175885932637257,4.57130367937234
Someone is about to move a marble with their mind.,impossible,0.0512820512820512,0.9487179487179488,4.538703958700317,1.1386395417372874,-1.145882956028406,1.1386395417372874,5.703429468781859
Someone is about to not eat for 1 hour.,possible,1.0,0.0,2.309182798887286,-0.4800551617109785,-1.8575964529724986,-0.4800551617109785,4.136669313838359
Someone is about to not eat for 10 days.,improbable,0.8108108108108109,0.1891891891891892,2.7603033595728137,-0.19218822017711457,-2.786623415515145,-0.19218822017711457,3.021888889832135
Someone is about to not eat for 100 days.,impossible,0.054054054054054,0.945945945945946,4.2294991007199645,-0.5716442861386037,-1.8538664420431792,-0.5716442861386037,2.9378222869221937
Someone is about to open a window with their breath.,impossible,0.1351351351351351,0.8648648648648649,0.554851155090706,0.5245108188931294,-3.187964780787776,0.5245108188931294,5.340105280558085
Someone is about to open a window with their feet.,improbable,0.8974358974358975,0.1025641025641025,2.8425368329645613,1.1880976181816996,-1.7489851012087432,1.1880976181816996,6.059897099245508
Someone is about to open a window with their hand.,possible,1.0,0.0,0.8039739614472166,0.26381472712407383,-2.982140030779581,0.26381472712407383,5.139550573165244
Someone is about to paint polka dots on a cloud.,impossible,0.025,0.975,1.6821822631993393,1.0303797906015046,-1.6758231446068779,1.0303797906015046,5.086758058995612
Someone is about to paint polka dots on a plane.,improbable,0.925,0.075,2.354819909560674,1.2706182245194366,-1.1515106143420162,1.2706182245194366,5.319758238517927
Someone is about to paint polka dots on a wall.,possible,1.0,0.0,0.6740020241412674,0.07774444545365,-1.8183152958934339,0.07774444545365,4.784192014793984
