sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,0.9928357601165771,0.46789056062698364,-1.2945798635482788,0.46789056062698364,1.0220024585723877
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,1.005117416381836,0.4488261342048645,-1.406045913696289,0.4488261342048645,1.081180453300476
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,1.3941798210144043,0.5110734701156616,-1.3638513088226318,0.5110734701156616,1.2578487396240234
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,0.7306418418884277,0.4687648415565491,-1.3239467144012451,0.4687648415565491,0.8977223634719849
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,1.297669529914856,0.4685143232345581,-1.2914378643035889,0.4685143232345581,1.3126825094223022
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,1.3072096109390259,0.4570530951023102,-1.3400664329528809,0.4570530951023102,1.1836179494857788
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,1.3575758934020996,0.4796934127807617,-1.1990247964859009,0.4796934127807617,1.3760827779769897
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,0.8705609440803528,0.45862382650375366,-1.3763470649719238,0.45862382650375366,0.9761962294578552
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,1.217834711074829,0.47482019662857056,-1.326364517211914,0.47482019662857056,1.1783599853515625
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,1.134683609008789,0.4558902680873871,-1.4284250736236572,0.4558902680873871,1.1812224388122559
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,1.3602795600891113,0.49361592531204224,-1.2483798265457153,0.49361592531204224,1.3746589422225952
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,0.94329833984375,0.45295342803001404,-1.4159897565841675,0.45295342803001404,1.0469613075256348
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,1.129715919494629,0.43756434321403503,-1.5071697235107422,0.43756434321403503,1.0880118608474731
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,1.0503249168395996,0.43985095620155334,-1.4382022619247437,0.43985095620155334,1.1558773517608643
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,1.2863914966583252,0.456298291683197,-1.2021496295928955,0.456298291683197,1.187428593635559
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,0.8299850225448608,0.45172566175460815,-1.4152840375900269,0.45172566175460815,1.0183489322662354
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,1.3837411403656006,0.451106995344162,-1.3108307123184204,0.451106995344162,1.434434175491333
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,1.0866600275039673,0.4382608234882355,-1.3095793724060059,0.4382608234882355,1.148749589920044
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,1.849985122680664,0.43554604053497314,-1.181051254272461,0.43554604053497314,1.7224104404449463
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,1.0746263265609741,0.4423418641090393,-1.3424980640411377,0.4423418641090393,1.127875804901123
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,1.73213529586792,0.4933018386363983,-1.1977876424789429,0.4933018386363983,1.7249763011932373
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,1.4729156494140625,0.47270530462265015,-1.135521411895752,0.47270530462265015,1.435824990272522
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,1.615124225616455,0.46740689873695374,-1.0612432956695557,0.46740689873695374,1.7497849464416504
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,1.134874939918518,0.46406450867652893,-1.3356717824935913,0.46406450867652893,1.1818490028381348
Someone constructed a tower out of sparks.,impossible,0.0,0.0256410256410256,0.4871794871794871,0.4871794871794871,1.7408965826034546,0.4966595768928528,-1.0688679218292236,0.4966595768928528,1.4144446849822998
Someone constructed a tower out of bubbles.,improbable,0.05,0.275,0.6,0.075,1.3873969316482544,0.4764196276664734,-1.1760077476501465,0.4764196276664734,1.293256402015686
Someone constructed a tower out of seasons.,inconceivable,0.0,0.0294117647058823,0.1176470588235294,0.8529411764705882,1.6128872632980347,0.4830249547958374,-1.0741536617279053,0.4830249547958374,1.5208511352539062
Someone constructed a tower out of blocks.,probable,1.0,0.0,0.0,0.0,1.1479642391204834,0.47790753841400146,-1.2401909828186035,0.47790753841400146,1.1737595796585083
Someone cooked dinner out of the moon.,impossible,0.0,0.0,0.1891891891891892,0.8108108108108109,1.6557461023330688,0.4672476053237915,-1.208404779434204,0.4672476053237915,1.3499614000320435
Someone cooked dinner out of insects.,improbable,0.2121212121212121,0.7878787878787878,0.0,0.0,1.3445305824279785,0.4885258674621582,-1.1921272277832031,0.4885258674621582,1.128607988357544
Someone cooked dinner out of thoughts.,inconceivable,0.0,0.027027027027027,0.2432432432432432,0.7297297297297297,1.8729074001312256,0.5000364184379578,-0.8676468133926392,0.5000364184379578,1.6102163791656494
