item_id,verb,verb_participle,object,prep,classification_prefix,binary_prefix,sentence_prefix,probable,improbable,impossible,inconceivable,inconceivable_syntactic
0,bake,baking,a cake,inside,baking a cake inside,Could someone bake a cake inside,[NP] baked a cake inside,an oven,an airfryer,a freezer,a sigh,grasp
1,boil,boiling,water,using,boiling water using,Could someone boil water using,[NP] boiled water using,a kettle,a microwave,a refrigerator,justice,began
2,break,breaking,a coconut,using,breaking a coconut using,Could someone break a coconut using,[NP] broke a coconut using,a rock,a table,a pillow,a texture,of
3,build,building,a house,out of,building a house out of,Could someone build a house out of,[NP] built a house out of,brick,grass,gas,language,at
4,build,building,a bridge,out of,building a bridge out of,Could someone build a bridge out of,[NP] built a bridge out of,steel,plastic,soup,dance,fell
5,call,calling,a friend,using,calling a friend using,Could someone call a friend using,[NP] called a friend using,a phone,a laptop,a sandwich,mass,with
6,carry,carrying,groceries,inside,carrying groceries inside,Could someone carry groceries inside,[NP] carried groceries inside,a tote bag,a backpack,a tornado,a law,give
7,carve,carving,a statue,using,carving a statue using,Could someone carve a statue using,[NP] carved a statue using,a chisel,a nail,a sock,laughter,forget
8,catch,catching,a fish,in,catching a fish in,Could someone catch a fish in,[NP] caught a fish in,a lake,a puddle,a raindrop,an exclamation,become
9,chill,chilling,a drink,using,chilling a drink using,Could someone chill a drink using,[NP] chilled a drink using,ice,snow,fire,yesterday,onto
10,chop,chopping,a carrot,using,chopping a carrot using,Could someone chop a carrot using,[NP] chopped a carrot using,a knife,a sword,a rag,a color,through
11,clean,cleaning,a spill,using,cleaning a spill using,Could someone clean a spill using,[NP] cleaned a spill using,a sponge,a scarf,mustard,a country,without
12,clean,cleaning,a carpet,using,cleaning a carpet using,Could someone clean a carpet using,[NP] cleaned a carpet using,a vacuum,a hat,a crayon,a week,into
13,climb,climbing,a tree,using,climbing a tree using,Could someone climb a tree using,[NP] climbed a tree using,a ladder,a rope,oil,a poem,before
14,close,closing,a jacket,using,closing a jacket using,Could someone close a jacket using,[NP] closed a jacket using,a zipper,glue,fog,a word,until
15,construct,constructing,a tower,out of,constructing a tower out of,Could someone construct a tower out of,[NP] constructed a tower out of,blocks,bubbles,sparks,seasons,forgive
16,cook,cooking,dinner,out of,cooking dinner out of,Could someone cook dinner out of,[NP] cooked dinner out of,pasta,insects,the moon,thoughts,do
17,cool,cooling,a room,using,cooling a room using,Could someone cool a room using,[NP] cooled a room using,a fan,shades,a heater,a taste,have
18,cover,covering,a window,using,covering a window using,Could someone cover a window using,[NP] covered a window using,curtains,sheets,a hair,a chant,make
19,craft,crafting,a bowl,out of,crafting a bowl out of,Could someone craft a bowl out of,[NP] crafted a bowl out of,clay,mud,smoke,math,follow
20,crush,crushing,a soda can,using,crushing a soda can using,Could someone crush a soda can using,[NP] crushed a soda can using,a shoe,a chair,a tissue,a day,choose
21,cut,cutting,grass,using,cutting grass using,Could someone cut grass using,[NP] cut grass using,a lawnmower,a scythe,a popsicle,an essay,then
22,cut,cutting,cardboard,using,cutting cardboard using,Could someone cut cardboard using,[NP] cut cardboard using,scissors,a scalpel,fur,a snore,sometimes
23,dent,denting,a car,with,denting a car with,Could someone dent a car with,[NP] dented a car with,a baseball bat,a dumbbell,a breeze,a nap,from
24,dig,digging,a hole,using,digging a hole using,Could someone dig a hole using,[NP] dug a hole using,a shovel,a spatula,dirt,a yawn,except
25,dip,dipping,a biscuit,into,dipping a biscuit into,Could someone dip a biscuit into,[NP] dipped a biscuit into,coffee,wine,a floor,a myth,by
26,display,displaying,books,on,displaying books on,Could someone display books on,[NP] displayed books on,a shelf,a bed,a galaxy,a sigh,for
27,dock,docking,a boat,using,docking a boat using,Could someone dock a boat using,[NP] docked a boat using,an anchor,an anvil,a balloon,a lesson,though
28,drink,drinking,a cup,full of,drinking a cup full of,Could someone drink a cup full of,[NP] drank a cup full of,water,honey,lightning,minutes,during
29,dry,drying,[POSS] hands,using,drying [POSS] hands using,Could someone dry [POSS] hands using,[NP] dried [POSS] hands using,a towel,a sweater,a liquid,freedom,always
30,dry,drying,laundry,using,drying laundry using,Could someone dry laundry using,[NP] dried laundry using,a clothesline,a fan,juice,courage,and
31,eat,eating,soup,using,eating soup using,Could someone eat soup using,[NP] ate soup using,a spoon,a bucket,a sieve,history,ever
32,enter,entering,a room,through,entering a room through,Could someone enter a room through,[NP] entered a room through,a door,a window,a wall,a theory,should
33,fill,filling,a bucket,with,filling a bucket with,Could someone fill a bucket with,[NP] filled a bucket with,sand,acorns,buildings,time,up
34,fill,filling,a purse,with,filling a purse with,Could someone fill a purse with,[NP] filled a purse with,coins,cream,sofas,luck,nor
35,grow,growing,flowers,inside,growing flowers inside,Could someone grow flowers inside,[NP] grew flowers inside,a pot,a mug,a marble,a sneeze,been
36,hang,hanging,a painting,using,hanging a painting using,Could someone hang a painting using,[NP] hung a painting using,screws,string,vapor,a handshake,could
37,hide,hiding,a gift,inside,hiding a gift inside,Could someone hide a gift inside,[NP] hid a gift inside,a closet,a forest,a cloud,a gasp,find
38,lift,lifting,a box,using,lifting a box using,Could someone lift a box using,[NP] lifted a box using,a forklift,a pulley,foam,an emotion,very
39,light,lighting,a candle,using,lighting a candle using,Could someone light a candle using,[NP] lit a candle using,a match,a blowtorch,yogurt,surprises,does
40,make,making,a sandwich,using,making a sandwich using,Could someone make a sandwich using,[NP] made a sandwich using,bread,lettuce,a star,a mile,went
41,make,making,a smoothie,using,making a smoothie using,Could someone make a smoothie using,[NP] made a smoothie using,a blender,a whisk,wind,decades,gave
42,melt,melting,a chocolate bar,using,melting a chocolate bar using,Could someone melt a chocolate bar using,[NP] melted a chocolate bar using,a stove,a radiator,a napkin,a promise,took
43,open,opening,a jar,using,opening a jar using,Could someone open a jar using,[NP] opened a jar using,[POSS] hands,[POSS] feet,[POSS] mind,an opinion,never
