sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,38.28937911987305,-9.123392105102539,-9.123392105102539,-9.123392105102539,-52.44282913208008
Someone is about to be born with 2 feet.,possible,1.0,0.0,31.385974884033203,-6.858466148376465,-6.858466148376465,-6.858466148376465,-42.33598327636719
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,40.737953186035156,-8.403100967407227,-8.403100967407227,-8.403100967407227,-46.001773834228516
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,30.319595336914062,-8.76766300201416,-8.76766300201416,-8.76766300201416,-49.35922622680664
Someone is about to clean a car.,possible,1.0,0.0,28.200786590576172,-10.221015930175781,-10.221015930175781,-10.221015930175781,-51.91221618652344
Someone is about to clean a cloud.,impossible,0.05,0.95,29.435470581054688,-8.437252044677734,-8.437252044677734,-8.437252044677734,-52.048343658447266
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,29.296892166137695,-9.640549659729004,-9.640549659729004,-9.640549659729004,-48.47795104980469
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,29.192691802978516,-8.712727546691895,-8.712727546691895,-8.712727546691895,-54.51070785522461
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,31.478439331054688,-8.366557121276855,-8.366557121276855,-8.366557121276855,-49.57513427734375
Someone is about to count all of the students in a room.,possible,1.0,0.0,25.669649124145508,-9.297382354736328,-9.297382354736328,-9.297382354736328,-51.061641693115234
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,26.781085968017578,-9.431761741638184,-9.431761741638184,-9.431761741638184,-50.94963073730469
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,27.83548355102539,-10.006896018981934,-10.006896018981934,-10.006896018981934,-42.98743438720703
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,30.016738891601562,-8.792562484741211,-8.792562484741211,-8.792562484741211,-51.46360778808594
Someone is about to eat a lollipop.,possible,1.0,0.0,28.482526779174805,-10.4969482421875,-10.4969482421875,-10.4969482421875,-53.28097152709961
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,34.786170959472656,-9.903225898742676,-9.903225898742676,-9.903225898742676,-44.57545471191406
Someone is about to eat a planet.,impossible,0.025,0.975,33.15703582763672,-8.545408248901367,-8.545408248901367,-8.545408248901367,-56.08177185058594
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,37.925750732421875,-9.019540786743164,-9.019540786743164,-9.019540786743164,-42.52653503417969
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,33.41685485839844,-9.948843955993652,-9.948843955993652,-9.948843955993652,-41.518455505371094
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,31.379329681396484,-10.010997772216797,-10.010997772216797,-10.010997772216797,-42.18794631958008
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,36.90357208251953,-9.989937782287598,-9.989937782287598,-9.989937782287598,-45.17223358154297
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,32.074798583984375,-10.421562194824219,-10.421562194824219,-10.421562194824219,-56.43613815307617
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,33.895179748535156,-9.21621322631836,-9.21621322631836,-9.21621322631836,-46.78056716918945
Someone is about to find a sweater in a closet.,possible,1.0,0.0,28.90462303161621,-8.734733581542969,-8.734733581542969,-8.734733581542969,-40.84540939331055
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,36.51559829711914,-9.698145866394043,-9.698145866394043,-9.698145866394043,-45.34305953979492
Someone is about to have a cat as a pet.,possible,1.0,0.0,31.96176528930664,-9.892191886901855,-9.892191886901855,-9.892191886901855,-51.10280227661133
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,37.47291946411133,-9.90372085571289,-9.90372085571289,-9.90372085571289,-54.25031280517578
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,38.63335418701172,-9.797632217407227,-9.797632217407227,-9.797632217407227,-52.57304382324219
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.0294117647058823,29.788494110107422,-8.29732608795166,-8.29732608795166,-8.29732608795166,-44.911190032958984
Someone is about to know the names of everyone in the world.,impossible,0.0256410256410256,0.9743589743589745,31.159536361694336,-8.5176362991333,-8.5176362991333,-8.5176362991333,-47.49855422973633
Someone is about to know the names of everyone they ever met.,improbable,0.5526315789473685,0.4473684210526316,29.924888610839844,-8.780644416809082,-8.780644416809082,-8.780644416809082,-49.44078063964844
Someone is about to live for 1000 years.,impossible,0.0,1.0,39.29051971435547,-8.227692604064941,-8.227692604064941,-8.227692604064941,-48.319007873535156
Someone is about to live for 110 years.,improbable,1.0,0.0,35.70090866088867,-8.27910041809082,-8.27910041809082,-8.27910041809082,-46.711158752441406
Someone is about to live for 60 years.,possible,1.0,0.0,32.334922790527344,-7.769326210021973,-7.769326210021973,-7.769326210021973,-45.258392333984375
Someone is about to magically appear into the store.,impossible,0.0526315789473684,0.9473684210526316,33.96830749511719,-9.949969291687012,-9.949969291687012,-9.949969291687012,-52.50518035888672
Someone is about to make a house out of bricks.,possible,0.975,0.025,31.04651641845703,-8.770546913146973,-8.770546913146973,-8.770546913146973,-47.903114318847656
Someone is about to make a house out of gas.,impossible,0.0,1.0,33.156333923339844,-8.235945701599121,-8.235945701599121,-8.235945701599121,-47.500728607177734
Someone is about to make a house out of grass.,improbable,0.5135135135135135,0.4864864864864865,37.21014404296875,-8.957447052001953,-8.957447052001953,-8.957447052001953,-49.84846115112305
Someone is about to make their friend cry.,improbable,1.0,0.0,35.65443420410156,-9.242145538330078,-9.242145538330078,-9.242145538330078,-50.51753616333008
Someone is about to make their friend shrink.,impossible,0.0789473684210526,0.9210526315789472,30.857057571411133,-8.055244445800781,-8.055244445800781,-8.055244445800781,-45.42469787597656
Someone is about to make their friend smile.,possible,1.0,0.0,34.6802864074707,-9.246774673461914,-9.246774673461914,-9.246774673461914,-47.73480224609375
Someone is about to move a marble with their breath.,improbable,0.8205128205128205,0.1794871794871795,34.07422637939453,-9.247502326965332,-9.247502326965332,-9.247502326965332,-49.97413635253906
Someone is about to move a marble with their hand.,possible,1.0,0.0,27.82089614868164,-9.431432723999023,-9.431432723999023,-9.431432723999023,-47.658935546875
Someone is about to move a marble with their mind.,impossible,0.0512820512820512,0.9487179487179488,35.73011016845703,-8.459527015686035,-8.459527015686035,-8.459527015686035,-47.04095458984375
Someone is about to not eat for 1 hour.,possible,1.0,0.0,31.5964412689209,-6.711421012878418,-6.711421012878418,-6.711421012878418,-44.21199035644531
Someone is about to not eat for 10 days.,improbable,0.8108108108108109,0.1891891891891892,35.86573791503906,-6.785747051239014,-6.785747051239014,-6.785747051239014,-48.387840270996094
Someone is about to not eat for 100 days.,impossible,0.054054054054054,0.945945945945946,37.19560623168945,-6.6859331130981445,-6.6859331130981445,-6.6859331130981445,-48.59489440917969
Someone is about to open a window with their breath.,impossible,0.1351351351351351,0.8648648648648649,31.00110626220703,-9.349884986877441,-9.349884986877441,-9.349884986877441,-50.89695739746094
Someone is about to open a window with their feet.,improbable,0.8974358974358975,0.1025641025641025,31.203121185302734,-8.982189178466797,-8.982189178466797,-8.982189178466797,-47.62326431274414
Someone is about to open a window with their hand.,possible,1.0,0.0,26.534286499023438,-9.97576904296875,-9.97576904296875,-9.97576904296875,-50.15360641479492
Someone is about to paint polka dots on a cloud.,impossible,0.025,0.975,34.13666534423828,-10.050772666931152,-10.050772666931152,-10.050772666931152,-52.62041473388672
Someone is about to paint polka dots on a plane.,improbable,0.925,0.075,32.22193145751953,-10.34550952911377,-10.34550952911377,-10.34550952911377,-56.49354553222656
Someone is about to paint polka dots on a wall.,possible,1.0,0.0,29.74789810180664,-10.357507705688477,-10.357507705688477,-10.357507705688477,-57.58715057373047
Someone is about to play with a toy.,possible,1.0,0.0,32.23867416381836,-10.069180488586426,-10.069180488586426,-10.069180488586426,-50.95431900024414
Someone is about to play with a wolf.,improbable,0.8,0.2,34.055809020996094,-9.580461502075195,-9.580461502075195,-9.580461502075195,-54.35509490966797
Someone is about to play with magic.,impossible,0.4358974358974359,0.5641025641025641,36.74017333984375,-9.570024490356445,-9.570024490356445,-9.570024490356445,-48.842430114746094
Someone is about to ride a cow.,improbable,0.85,0.15,32.075584411621094,-9.993751525878906,-9.993751525878906,-9.993751525878906,-53.22500228881836
Someone is about to ride a horse.,possible,1.0,0.0,28.725601196289062,-10.244759559631348,-10.244759559631348,-10.244759559631348,-53.16469192504883
Someone is about to ride an ogre.,impossible,0.0769230769230769,0.9230769230769232,30.11670684814453,-8.795347213745117,-8.795347213745117,-8.795347213745117,-48.36915588378906
Someone is about to shake someone's hand with their hand.,possible,1.0,0.0,24.523876190185547,-8.499561309814453,-8.499561309814453,-8.499561309814453,-45.729209899902344
