sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,0.6257193684577942,0.046127766370773315,-6.9205827713012695,0.046127766370773315,-3.6053340435028076
Someone is about to be born with 2 feet.,possible,1.0,0.0,0.8123276829719543,0.6542967557907104,-4.610826015472412,0.6542967557907104,-2.055023670196533
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,0.8208529949188232,0.543048620223999,-4.423447608947754,0.543048620223999,-2.488826036453247
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-0.9724475145339966,-0.6111993789672852,-6.849200248718262,-0.6111993789672852,-5.997872829437256
Someone is about to clean a car.,possible,1.0,0.0,-2.5956029891967773,-3.067561149597168,-8.86961555480957,-3.067561149597168,-6.379725933074951
Someone is about to clean a cloud.,impossible,0.05,0.95,0.45947906374931335,0.42321154475212097,-5.675576210021973,0.42321154475212097,-2.236509323120117
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-1.6705222129821777,-2.428649425506592,-7.690342903137207,-2.428649425506592,-5.3337554931640625
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-0.6074909567832947,-1.2800042629241943,-8.466497421264648,-1.2800042629241943,-5.192086219787598
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,1.0710572004318237,0.2501996159553528,-6.8579325675964355,0.2501996159553528,-2.6026899814605713
Someone is about to count all of the students in a room.,possible,1.0,0.0,-2.912278652191162,-2.024836540222168,-9.514301300048828,-2.024836540222168,-7.911138534545898
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-0.9276412725448608,-1.8502143621444702,-6.300637245178223,-1.8502143621444702,-6.022478103637695
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-1.6723241806030273,-2.4000048637390137,-8.280891418457031,-2.4000048637390137,-6.496593475341797
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,-0.769561231136322,-0.9380964040756226,-8.624784469604492,-0.9380964040756226,-6.712522506713867
