sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-1001.6876544859913,-1227.667972249123,-11766.00406842341,-1227.667972249123,-4321.0498485230255
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,-845.4272833105649,-1071.5910248846144,-8584.960947663167,-1071.5910248846144,-3683.8668371967105
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,-828.3026132581692,-1004.0487353891331,-8671.436459294717,-1004.0487353891331,-3178.7755899612985
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-984.411105864314,-1189.255192535202,-11787.02072595673,-1189.255192535202,-4378.130429022448
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,-930.3594437327142,-1135.2250274920887,-9465.576814609276,-1135.2250274920887,-3817.6436235716246
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,-905.369483493752,-1083.731401371123,-9011.706673671271,-1083.731401371123,-3655.9216959681803
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-798.7313800533983,-916.5628328227887,-6910.084006403772,-916.5628328227887,-2936.7383799117847
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-988.8521554510953,-1187.0708885256374,-9968.632605040295,-1187.0708885256374,-3939.7185244270095
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,-801.8644247176599,-972.3221955499649,-7244.387500536198,-972.3221955499649,-3270.865071071133
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-902.288342770096,-1068.4595097619367,-6114.119761633428,-1068.4595097619367,-2862.9299002572325
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,-542.8659291449146,-590.2902267852079,-2946.21725934353,-590.2902267852079,-1477.0112228342482
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-933.0898134865574,-1111.3188491949747,-6469.54553786555,-1111.3188491949747,-3172.0719115951333
