sentence,class
baking a cake inside an oven.,probable
baking a cake inside an airfryer.,improbable
baking a cake inside a freezer.,impossible
baking a cake inside a sigh.,inconceivable
boiling water using a kettle.,probable
boiling water using a microwave.,improbable
boiling water using a refrigerator.,impossible
boiling water using justice.,inconceivable
breaking a coconut using a rock.,probable
breaking a coconut using a table.,improbable
breaking a coconut using a pillow.,impossible
breaking a coconut using a texture.,inconceivable
building a house out of brick.,probable
building a house out of grass.,improbable
building a house out of gas.,impossible
building a house out of language.,inconceivable
building a bridge out of steel.,probable
building a bridge out of plastic.,improbable
building a bridge out of soup.,impossible
building a bridge out of dance.,inconceivable
calling a friend using a phone.,probable
calling a friend using a laptop.,improbable
calling a friend using a sandwich.,impossible
calling a friend using mass.,inconceivable
carrying groceries inside a tote bag.,probable
carrying groceries inside a backpack.,improbable
carrying groceries inside a tornado.,impossible
carrying groceries inside a law.,inconceivable
carving a statue using a chisel.,probable
carving a statue using a nail.,improbable
carving a statue using a sock.,impossible
carving a statue using laughter.,inconceivable
catching a fish in a lake.,probable
catching a fish in a puddle.,improbable
catching a fish in a raindrop.,impossible
catching a fish in an exclamation.,inconceivable
chilling a drink using ice.,probable
chilling a drink using snow.,improbable
chilling a drink using fire.,impossible
chilling a drink using yesterday.,inconceivable
chopping a carrot using a knife.,probable
chopping a carrot using a sword.,improbable
chopping a carrot using a rag.,impossible
chopping a carrot using a color.,inconceivable
cleaning a spill using a sponge.,probable
cleaning a spill using a scarf.,improbable
cleaning a spill using mustard.,impossible
cleaning a spill using a country.,inconceivable
cleaning a carpet using a vacuum.,probable
cleaning a carpet using a hat.,improbable
cleaning a carpet using a crayon.,impossible
cleaning a carpet using a week.,inconceivable
climbing a tree using a ladder.,probable
climbing a tree using a rope.,improbable
climbing a tree using oil.,impossible
climbing a tree using a poem.,inconceivable
closing a jacket using a zipper.,probable
closing a jacket using glue.,improbable
closing a jacket using fog.,impossible
closing a jacket using a word.,inconceivable
constructing a tower out of blocks.,probable
constructing a tower out of bubbles.,improbable
constructing a tower out of sparks.,impossible
constructing a tower out of seasons.,inconceivable
cooking dinner out of pasta.,probable
cooking dinner out of insects.,improbable
cooking dinner out of the moon.,impossible
cooking dinner out of thoughts.,inconceivable
cooling a room using a fan.,probable
cooling a room using shades.,improbable
cooling a room using a heater.,impossible
cooling a room using a taste.,inconceivable
covering a window using curtains.,probable
covering a window using sheets.,improbable
covering a window using a hair.,impossible
covering a window using a chant.,inconceivable
crafting a bowl out of clay.,probable
crafting a bowl out of mud.,improbable
crafting a bowl out of smoke.,impossible
crafting a bowl out of math.,inconceivable
crushing a soda can using a shoe.,probable
crushing a soda can using a chair.,improbable
crushing a soda can using a tissue.,impossible
crushing a soda can using a day.,inconceivable
cutting grass using a lawnmower.,probable
cutting grass using a scythe.,improbable
cutting grass using a popsicle.,impossible
cutting grass using an essay.,inconceivable
cutting cardboard using scissors.,probable
cutting cardboard using a scalpel.,improbable
cutting cardboard using fur.,impossible
cutting cardboard using a snore.,inconceivable
denting a car with a baseball bat.,probable
denting a car with a dumbbell.,improbable
denting a car with a breeze.,impossible
denting a car with a nap.,inconceivable
digging a hole using a shovel.,probable
digging a hole using a spatula.,improbable
digging a hole using dirt.,impossible
digging a hole using a yawn.,inconceivable
dipping a biscuit into coffee.,probable
dipping a biscuit into wine.,improbable
dipping a biscuit into a floor.,impossible
dipping a biscuit into a myth.,inconceivable
displaying books on a shelf.,probable
displaying books on a bed.,improbable
displaying books on a galaxy.,impossible
displaying books on a sigh.,inconceivable
docking a boat using an anchor.,probable
docking a boat using an anvil.,improbable
docking a boat using a balloon.,impossible
docking a boat using a lesson.,inconceivable
drinking a cup full of water.,probable
drinking a cup full of honey.,improbable
drinking a cup full of lightning.,impossible
drinking a cup full of minutes.,inconceivable
drying their hands using a towel.,probable
drying their hands using a sweater.,improbable
drying their hands using a liquid.,impossible
drying their hands using freedom.,inconceivable
drying laundry using a clothesline.,probable
drying laundry using a fan.,improbable
drying laundry using juice.,impossible
drying laundry using courage.,inconceivable
eating soup using a spoon.,probable
eating soup using a bucket.,improbable
eating soup using a sieve.,impossible
eating soup using history.,inconceivable
entering a room through a door.,probable
entering a room through a window.,improbable
