sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,5359.75048828125,109.27408599853516,-59.740379333496094,109.27408599853516,-6647.64404296875
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,5484.466796875,-689.2915649414062,-63.28955078125,-689.2915649414062,-7455.3994140625
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,4217.5478515625,1875.5091552734375,-7.870719909667969,1875.5091552734375,-704.08203125
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,263.9293212890625,-1905.32373046875,-59.26079177856445,-1905.32373046875,-6150.0283203125
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,3867.06494140625,-490.4384460449219,-71.65859985351562,-490.4384460449219,-6144.529296875
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,2984.7275390625,-976.7212524414062,-60.92440414428711,-976.7212524414062,-6569.95263671875
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,2783.93359375,1528.9068603515625,-15.919015884399414,1528.9068603515625,682.0665283203125
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,289.2891845703125,-2075.74169921875,-60.569190979003906,-2075.74169921875,-6360.65185546875
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,5010.39453125,-616.5447387695312,-68.35606384277344,-616.5447387695312,-6068.0322265625
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,4119.32275390625,-1268.9449462890625,-69.75253295898438,-1268.9449462890625,-6160.63671875
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,1607.9879150390625,702.3117065429688,-18.308940887451172,702.3117065429688,874.630859375
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,2030.9322509765625,-2103.4853515625,-66.2056655883789,-2103.4853515625,-6691.51708984375
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,4609.0322265625,-875.3466796875,-58.171539306640625,-875.3466796875,-7363.7080078125
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,5047.84375,1164.218505859375,-70.45590209960938,1164.218505859375,-4315.7314453125
