sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-335.7141418457031,-17.357547760009766,-99.36866760253906,-17.357547760009766,-20.46624755859375
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,-311.955322265625,-17.526691436767578,-100.76516723632812,-17.526691436767578,-19.88180923461914
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,-267.18231201171875,-16.686809539794922,-100.25489807128906,-16.686809539794922,-17.93501853942871
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-328.6358947753906,-17.10352897644043,-98.85127258300781,-17.10352897644043,-19.81526756286621
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,-324.25335693359375,-19.221420288085938,-100.1838150024414,-19.221420288085938,-21.257640838623047
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,-261.723876953125,-20.003646850585938,-100.7526626586914,-20.003646850585938,-22.439226150512695
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-316.6490478515625,-17.800601959228516,-94.37305450439453,-17.800601959228516,-17.846784591674805
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-314.3894958496094,-19.747421264648438,-97.31785583496094,-19.747421264648438,-21.452316284179688
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,-299.78094482421875,-18.515472412109375,-101.65078735351562,-18.515472412109375,-20.78249168395996
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-311.56317138671875,-19.059823989868164,-102.14898681640625,-19.059823989868164,-21.72397804260254
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,-246.98788452148438,-15.75562572479248,-95.80432891845703,-15.75562572479248,-17.373218536376953
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-336.57879638671875,-18.625385284423828,-104.59632110595703,-18.625385284423828,-21.8111515045166
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,-372.5683288574219,-17.274330139160156,-98.71473693847656,-17.274330139160156,-21.18522834777832
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,-333.55145263671875,-19.031930923461914,-103.62940216064453,-19.031930923461914,-21.46137809753418
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,-320.44989013671875,-15.695206642150879,-98.76483917236328,-15.695206642150879,-18.390625
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-385.2667541503906,-17.59618377685547,-104.14249420166016,-17.59618377685547,-20.93731689453125
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,-302.40350341796875,-17.180747985839844,-102.72350311279297,-17.180747985839844,-19.104928970336914
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,-299.8960266113281,-18.833755493164062,-104.15142059326172,-18.833755493164062,-22.44542694091797
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,-300.4303283691406,-19.44232749938965,-99.15087890625,-19.44232749938965,-21.477001190185547
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,-308.45343017578125,-19.236003875732422,-105.0419692993164,-19.236003875732422,-22.516286849975586
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,-290.6036376953125,-16.152402877807617,-97.23453521728516,-16.152402877807617,-18.022903442382812
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,-323.76556396484375,-17.43842315673828,-100.702392578125,-17.43842315673828,-20.62480926513672
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,-313.33526611328125,-16.212305068969727,-95.75667572021484,-16.212305068969727,-18.552841186523438
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,-347.32562255859375,-17.822208404541016,-99.21028900146484,-17.822208404541016,-20.816593170166016
Someone constructed a tower out of sparks.,impossible,0.0,0.0256410256410256,0.4871794871794871,0.4871794871794871,-270.8858947753906,-16.608531951904297,-99.74385070800781,-16.608531951904297,-19.565141677856445
Someone constructed a tower out of bubbles.,improbable,0.05,0.275,0.6,0.075,-284.646240234375,-16.629053115844727,-98.2986831665039,-16.629053115844727,-18.793546676635742
Someone constructed a tower out of seasons.,inconceivable,0.0,0.0294117647058823,0.1176470588235294,0.8529411764705882,-281.1714782714844,-15.046616554260254,-95.32901763916016,-15.046616554260254,-16.655176162719727
Someone constructed a tower out of blocks.,probable,1.0,0.0,0.0,0.0,-302.2746276855469,-16.400657653808594,-97.77620697021484,-16.400657653808594,-19.039794921875
Someone cooked dinner out of the moon.,impossible,0.0,0.0,0.1891891891891892,0.8108108108108109,-297.02545166015625,-15.442131042480469,-97.91143798828125,-15.442131042480469,-16.696884155273438
Someone cooked dinner out of insects.,improbable,0.2121212121212121,0.7878787878787878,0.0,0.0,-310.3096923828125,-15.470455169677734,-98.38392639160156,-15.470455169677734,-17.168832778930664
Someone cooked dinner out of thoughts.,inconceivable,0.0,0.027027027027027,0.2432432432432432,0.7297297297297297,-305.59771728515625,-15.836831092834473,-94.88896942138672,-15.836831092834473,-17.938648223876953
Someone cooked dinner out of pasta.,probable,0.7619047619047619,0.0,0.0714285714285714,0.1666666666666666,-323.44122314453125,-16.813552856445312,-99.32582092285156,-16.813552856445312,-18.39009666442871
Someone cooled a room using a heater.,impossible,0.075,0.125,0.75,0.05,-340.2588806152344,-17.33358383178711,-98.23099517822266,-17.33358383178711,-20.469446182250977
Someone cooled a room using shades.,improbable,0.8387096774193549,0.064516129032258,0.064516129032258,0.032258064516129,-302.9505615234375,-17.707883834838867,-103.57030487060547,-17.707883834838867,-19.143470764160156
Someone cooled a room using a taste.,inconceivable,0.0,0.0,0.054054054054054,0.945945945945946,-293.08709716796875,-17.13298225402832,-94.86138916015625,-17.13298225402832,-19.05839729309082
