sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,1.527849555015564,0.8517156839370728,-1.7377831935882568,0.8517156839370728,-6.856790065765381
Someone is about to be born with 2 feet.,possible,1.0,0.0,0.6509571075439453,8.033069610595703,-1.4830279350280762,8.033069610595703,6.6917643547058105
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,1.6953866481781006,2.164588689804077,-1.0465083122253418,2.164588689804077,-4.4662699699401855
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-1.172782301902771,-2.704637050628662,-1.9505301713943481,-2.704637050628662,-8.188936233520508
Someone is about to clean a car.,possible,1.0,0.0,-3.323873996734619,-7.166773796081543,-2.3418631553649902,-7.166773796081543,-17.436508178710938
Someone is about to clean a cloud.,impossible,0.05,0.95,1.6348174810409546,14.276653289794922,-0.5382331013679504,14.276653289794922,18.680606842041016
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-2.477203845977783,-7.081876277923584,-2.275087594985962,-7.081876277923584,-17.455997467041016
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,0.054536253213882446,-5.964428901672363,-1.7576872110366821,-5.964428901672363,-18.078706741333008
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,0.9069991111755371,-1.7535789012908936,-1.259311318397522,-1.7535789012908936,-10.739463806152344
Someone is about to count all of the students in a room.,possible,1.0,0.0,-2.3508501052856445,-8.322994232177734,-2.223926544189453,-8.322994232177734,-17.344404220581055
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-0.7439119815826416,-1.6583143472671509,-2.297553539276123,-1.6583143472671509,-7.768003463745117
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-4.2236504554748535,-11.288405418395996,-3.0295491218566895,-11.288405418395996,-24.629444122314453
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,1.2886412143707275,0.9945358633995056,-2.058396100997925,0.9945358633995056,-6.147157669067383
Someone is about to eat a lollipop.,possible,1.0,0.0,-3.3257968425750732,-8.625839233398438,-2.599246025085449,-8.625839233398438,-20.805843353271484
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,-1.7965530157089233,-7.075008869171143,-2.6610803604125977,-7.075008869171143,-20.401866912841797
Someone is about to eat a planet.,impossible,0.025,0.975,2.8407206535339355,10.460261344909668,-0.21528325974941254,10.460261344909668,11.14710807800293
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,-0.5146465301513672,-1.0938489437103271,-1.764251708984375,-1.0938489437103271,-8.63697338104248
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,-2.7905683517456055,-10.39849853515625,-2.396810531616211,-10.39849853515625,-22.714351654052734
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,-3.2295308113098145,-10.129772186279297,-2.523190975189209,-10.129772186279297,-22.980209350585938
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,-0.32986170053482056,-0.30104583501815796,-2.017941951751709,-0.30104583501815796,-10.069889068603516
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,-0.28297626972198486,-5.355759143829346,-1.602358341217041,-5.355759143829346,-13.934951782226562
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,-0.6330803036689758,-2.5659828186035156,-2.2244458198547363,-2.5659828186035156,-6.807117462158203
Someone is about to find a sweater in a closet.,possible,1.0,0.0,-3.008464813232422,-6.586670875549316,-2.759842872619629,-6.586670875549316,-13.534978866577148
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,-0.03765733540058136,-2.757890224456787,-2.141784191131592,-2.757890224456787,-9.701725959777832
Someone is about to have a cat as a pet.,possible,1.0,0.0,-2.7491989135742188,-8.395276069641113,-2.199082136154175,-8.395276069641113,-16.52884292602539
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,-0.44676047563552856,-2.9697608947753906,-2.401876449584961,-2.9697608947753906,-11.671120643615723
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,2.156244993209839,8.357349395751953,-1.0394525527954102,8.357349395751953,8.0281343460083
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.0294117647058823,-1.2960516214370728,-2.0293407440185547,-0.8394882678985596,-2.0293407440185547,-3.6352274417877197
Someone is about to know the names of everyone in the world.,impossible,0.0256410256410256,0.9743589743589745,1.2912623882293701,7.817586898803711,-0.48555004596710205,7.817586898803711,10.941795349121094
Someone is about to know the names of everyone they ever met.,improbable,0.5526315789473685,0.4473684210526316,1.1145501136779785,6.5971479415893555,-0.5053344368934631,6.5971479415893555,8.597321510314941
Someone is about to live for 1000 years.,impossible,0.0,1.0,-0.23517853021621704,-2.044186592102051,-1.4082322120666504,-2.044186592102051,-11.004058837890625
Someone is about to live for 110 years.,improbable,1.0,0.0,0.3808630704879761,4.6159162521362305,-0.9805794358253479,4.6159162521362305,2.083167314529419
Someone is about to live for 60 years.,possible,1.0,0.0,-1.09987211227417,-2.2291431427001953,-1.0017988681793213,-2.2291431427001953,-4.449028491973877
Someone is about to magically appear into the store.,impossible,0.0526315789473684,0.9473684210526316,-0.4373658001422882,1.490362524986267,-1.6016334295272827,1.490362524986267,0.3755377531051636
Someone is about to make a house out of bricks.,possible,0.975,0.025,-2.875703811645508,-7.52679967880249,-2.332193374633789,-7.52679967880249,-18.151304244995117
Someone is about to make a house out of gas.,impossible,0.0,1.0,3.1850409507751465,15.613423347473145,-1.227656602859497,15.613423347473145,17.422176361083984
Someone is about to make a house out of grass.,improbable,0.5135135135135135,0.4864864864864865,0.7293535470962524,4.803296089172363,-1.966260313987732,4.803296089172363,-0.8180129528045654
Someone is about to make their friend cry.,improbable,1.0,0.0,-0.5605252385139465,0.3894633650779724,-1.0478012561798096,0.3894633650779724,-1.7297314405441284
Someone is about to make their friend shrink.,impossible,0.0789473684210526,0.9210526315789472,0.9836452007293701,2.583521604537964,-1.028423547744751,2.583521604537964,0.4827069044113159
Someone is about to make their friend smile.,possible,1.0,0.0,-2.040998935699463,-1.3726400136947632,-1.0183244943618774,-1.3726400136947632,-3.7806828022003174
Someone is about to move a marble with their breath.,improbable,0.8205128205128205,0.1794871794871795,0.9369261264801025,-3.0585882663726807,-1.7976672649383545,-3.0585882663726807,-13.578814506530762
Someone is about to move a marble with their hand.,possible,1.0,0.0,-2.6100058555603027,-9.096100807189941,-2.8909177780151367,-9.096100807189941,-22.484832763671875
Someone is about to move a marble with their mind.,impossible,0.0512820512820512,0.9487179487179488,0.8811439275741577,2.277559518814087,-1.0528627634048462,2.277559518814087,-3.010396957397461
Someone is about to not eat for 1 hour.,possible,1.0,0.0,-1.4061386585235596,-7.93808650970459,-1.8916597366333008,-7.93808650970459,-17.893901824951172
Someone is about to not eat for 10 days.,improbable,0.8108108108108109,0.1891891891891892,-0.588229775428772,-5.121832370758057,-1.7633869647979736,-5.121832370758057,-15.311156272888184
Someone is about to not eat for 100 days.,impossible,0.054054054054054,0.945945945945946,0.27058646082878113,-0.4677882492542267,-1.3237168788909912,-0.4677882492542267,-5.914430141448975
Someone is about to open a window with their breath.,impossible,0.1351351351351351,0.8648648648648649,0.5499039888381958,2.734609842300415,-1.503733515739441,2.734609842300415,-3.5244553089141846
Someone is about to open a window with their feet.,improbable,0.8974358974358975,0.1025641025641025,0.10808295011520386,-1.0374901294708252,-2.2424838542938232,-1.0374901294708252,-9.95567512512207
Someone is about to open a window with their hand.,possible,1.0,0.0,-2.2748312950134277,-7.168185710906982,-2.410061836242676,-7.168185710906982,-18.53272247314453
Someone is about to paint polka dots on a cloud.,impossible,0.025,0.975,0.4987332224845886,3.249957323074341,-2.3849501609802246,3.249957323074341,-7.365973472595215
Someone is about to paint polka dots on a plane.,improbable,0.925,0.075,0.7753421664237976,0.04182431101799011,-2.271178722381592,0.04182431101799011,-10.713798522949219
Someone is about to paint polka dots on a wall.,possible,1.0,0.0,-2.482191801071167,-9.320911407470703,-3.3915112018585205,-9.320911407470703,-23.55769157409668
Someone is about to play with a toy.,possible,1.0,0.0,-4.430336952209473,-7.682246685028076,-2.431018352508545,-7.682246685028076,-14.900331497192383
Someone is about to play with a wolf.,improbable,0.8,0.2,-0.013088002800941467,-4.511377811431885,-1.9026837348937988,-4.511377811431885,-12.559741020202637
Someone is about to play with magic.,impossible,0.4358974358974359,0.5641025641025641,-0.12934687733650208,1.8631303310394287,0.13794931769371033,1.8631303310394287,4.8099589347839355
Someone is about to ride a cow.,improbable,0.85,0.15,0.391225129365921,0.40650784969329834,-1.677213191986084,0.40650784969329834,-6.508522033691406
Someone is about to ride a horse.,possible,1.0,0.0,-3.6847808361053467,-6.690291881561279,-2.4290637969970703,-6.690291881561279,-14.109328269958496
Someone is about to ride an ogre.,impossible,0.0769230769230769,0.9230769230769232,0.8352339267730713,-0.47355660796165466,-1.4762015342712402,-0.47355660796165466,-3.7782840728759766
Someone is about to shake someone's hand with their hand.,possible,1.0,0.0,-2.7629785537719727,-2.5247788429260254,-1.3556421995162964,-2.5247788429260254,-8.188889503479004
Someone is about to shake someone's hand with their mind.,impossible,0.0263157894736842,0.9736842105263158,2.037261962890625,9.22525405883789,-0.4047107696533203,9.22525405883789,10.065289497375488
Someone is about to shake someone's hand with their mouth.,improbable,0.5641025641025641,0.4358974358974359,0.009163066744804382,0.1831466257572174,-1.3120661973953247,0.1831466257572174,-6.272854328155518
Someone is about to stay awake for 5 days.,improbable,0.525,0.475,-0.8139869570732117,-7.903141498565674,-1.9542670249938965,-7.903141498565674,-21.300338745117188
Someone is about to stay awake for 5 hours.,possible,1.0,0.0,-1.5227190256118774,-8.129859924316406,-2.1693201065063477,-8.129859924316406,-18.970813751220703
Someone is about to stay awake for 5 years.,impossible,0.0512820512820512,0.9487179487179488,0.8778718709945679,-0.3187757134437561,-1.4161150455474854,-0.3187757134437561,-12.582579612731934
Someone is about to steal a large rock.,improbable,0.975,0.025,-0.5867518186569214,-3.7030458450317383,-2.411745548248291,-3.7030458450317383,-11.790959358215332
Someone is about to turn an onion into apple juice.,impossible,0.0,1.0,0.418357789516449,-4.731233596801758,-2.1568949222564697,-4.731233596801758,-19.77069854736328
