sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-4.598610315752325,64.87448957358042,109.04053797292741,64.87448957358042,156.64828363724408
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,23.095414886888676,56.76123692893226,104.04486435548083,56.76123692893226,144.46617461670934
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,-14.091804703202627,55.368647756231006,135.34784067736243,55.368647756231006,170.97945534024993
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,5.020090553709075,66.79270507428679,109.78590230175067,66.79270507428679,161.88508404713687
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,18.837213224856832,60.5929913926458,105.35282384654114,60.5929913926458,155.91265172866312
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,0.7851812223426116,55.1684337302117,97.26347761498633,55.1684337302117,158.54533083543544
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,10.559969073032754,56.57667854932499,120.30254642484292,56.57667854932499,173.37238010887154
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-0.20118350074989877,59.296772631424716,106.618930587227,59.296772631424716,163.0866739365701
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,10.745264380404734,65.703295231741,125.64282516539073,65.703295231741,158.8243254071508
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-2.73661917253326,58.52591761699361,105.45922534206318,58.52591761699361,159.64654941761682
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,-31.08429754234532,75.76905762327927,103.99467867512385,75.76905762327927,172.19831950663377
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,10.535616103320987,63.67830028365465,109.98153471880961,63.67830028365465,155.42184669711526
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,-11.436831054478947,60.055799830769885,106.30136489280918,60.055799830769885,143.421837827934
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,-7.061164696417833,51.35264778442397,100.21245179976103,51.35264778442397,163.05769326137272
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,-16.809679187591797,58.13132009121219,124.03382037185679,58.13132009121219,164.0533966632683
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-0.44183189763893793,59.656979780813614,106.30156977940797,59.656979780813614,150.4959847682873
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,6.508545469943719,74.05018284023816,110.37619194946339,74.05018284023816,155.64599232668127
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,-14.778256100513012,65.39245780777908,99.99640954987457,65.39245780777908,165.67218698951268
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,-24.698635945785476,61.344485149176094,114.81267874610418,61.344485149176094,162.71425765349244
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,-12.092708362839957,65.20543337764032,103.57470865101882,65.20543337764032,157.41464667688228
