sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,312.69805908203125,-16.60668182373047,12.73997974395752,-16.60668182373047,-23.746252059936523
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,316.06927490234375,-17.44891357421875,11.728981971740723,-17.44891357421875,-26.77572250366211
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,251.1227264404297,-12.075685501098633,15.808897018432617,-12.075685501098633,-17.148956298828125
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,267.0201110839844,-16.275917053222656,12.789413452148438,-16.275917053222656,-24.34422492980957
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,286.2470703125,-16.93671989440918,12.977306365966797,-16.93671989440918,-24.722497940063477
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,298.7424621582031,-17.555667877197266,12.206701278686523,-17.555667877197266,-26.77265739440918
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,219.35328674316406,-13.907108306884766,15.550149917602539,-13.907108306884766,-17.34295654296875
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,243.9541778564453,-17.43080711364746,12.267236709594727,-17.43080711364746,-25.196460723876953
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,298.3784484863281,-16.29740333557129,12.376806259155273,-16.29740333557129,-25.39806365966797
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,290.8608703613281,-17.033706665039062,13.360054969787598,-17.033706665039062,-23.40682601928711
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,195.72264099121094,-11.5528564453125,14.793730735778809,-11.5528564453125,-14.359156608581543
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,267.4759216308594,-16.681941986083984,12.89728832244873,-16.681941986083984,-23.743268966674805
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,299.4849548339844,-16.778263092041016,11.10972785949707,-16.778263092041016,-24.31271743774414
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,284.98455810546875,-16.124874114990234,13.120463371276855,-16.124874114990234,-21.010343551635742
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,224.166015625,-13.794289588928223,14.328194618225098,-13.794289588928223,-16.970123291015625
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,246.87123107910156,-16.56039810180664,12.253059387207031,-16.56039810180664,-21.634357452392578
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,249.55914306640625,-15.113910675048828,13.173949241638184,-15.113910675048828,-21.01868438720703
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,144.54202270507812,-16.590286254882812,12.323497772216797,-16.590286254882812,-24.83586311340332
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,275.8968200683594,-16.8349609375,14.384035110473633,-16.8349609375,-22.072391510009766
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,185.92633056640625,-16.82807159423828,11.378410339355469,-16.82807159423828,-24.09579086303711
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,236.29014587402344,-15.078386306762695,16.817005157470703,-15.078386306762695,-17.995649337768555
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,279.9254455566406,-17.619365692138672,13.165872573852539,-17.619365692138672,-22.944557189941406
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,250.473876953125,-13.857885360717773,14.568111419677734,-13.857885360717773,-18.84840965270996
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,268.2413635253906,-17.638107299804688,12.462421417236328,-17.638107299804688,-23.505924224853516
Someone constructed a tower out of sparks.,impossible,0.0,0.0256410256410256,0.4871794871794871,0.4871794871794871,275.1117248535156,-15.562376022338867,14.995136260986328,-15.562376022338867,-23.962614059448242
Someone constructed a tower out of bubbles.,improbable,0.05,0.275,0.6,0.075,314.1039733886719,-16.926589965820312,13.452683448791504,-16.926589965820312,-26.227439880371094
Someone constructed a tower out of seasons.,inconceivable,0.0,0.0294117647058823,0.1176470588235294,0.8529411764705882,243.2188262939453,-13.982950210571289,16.472768783569336,-13.982950210571289,-19.838115692138672
Someone constructed a tower out of blocks.,probable,1.0,0.0,0.0,0.0,254.11276245117188,-16.715679168701172,12.301454544067383,-16.715679168701172,-22.786231994628906
Someone cooked dinner out of the moon.,impossible,0.0,0.0,0.1891891891891892,0.8108108108108109,279.3508605957031,-15.320291519165039,14.941559791564941,-15.320291519165039,-21.92629623413086
Someone cooked dinner out of insects.,improbable,0.2121212121212121,0.7878787878787878,0.0,0.0,306.1314697265625,-16.95286750793457,13.99205207824707,-16.95286750793457,-26.087060928344727
Someone cooked dinner out of thoughts.,inconceivable,0.0,0.027027027027027,0.2432432432432432,0.7297297297297297,283.15570068359375,-12.458297729492188,16.681682586669922,-12.458297729492188,-19.042701721191406
Someone cooked dinner out of pasta.,probable,0.7619047619047619,0.0,0.0714285714285714,0.1666666666666666,302.8669738769531,-17.487016677856445,13.525323867797852,-17.487016677856445,-25.119043350219727
Someone cooled a room using a heater.,impossible,0.075,0.125,0.75,0.05,102.63751220703125,-15.085086822509766,11.580214500427246,-15.085086822509766,-19.72149658203125
Someone cooled a room using shades.,improbable,0.8387096774193549,0.064516129032258,0.064516129032258,0.032258064516129,265.9462890625,-15.878277778625488,13.39388656616211,-15.878277778625488,-21.72048568725586
Someone cooled a room using a taste.,inconceivable,0.0,0.0,0.054054054054054,0.945945945945946,219.8942108154297,-11.736227035522461,15.621341705322266,-11.736227035522461,-15.08293628692627
Someone cooled a room using a fan.,probable,0.975609756097561,0.0,0.024390243902439,0.0,48.4226188659668,-15.618253707885742,12.272737503051758,-15.618253707885742,-21.359914779663086
Someone covered a window using a hair.,impossible,0.0,0.3714285714285714,0.4857142857142857,0.1428571428571428,219.31594848632812,-12.558395385742188,14.873469352722168,-12.558395385742188,-17.173263549804688
Someone covered a window using sheets.,improbable,0.7777777777777778,0.2222222222222222,0.0,0.0,262.62359619140625,-16.079111099243164,14.812592506408691,-16.079111099243164,-24.58936309814453
Someone covered a window using a chant.,inconceivable,0.0,0.0294117647058823,0.1764705882352941,0.7941176470588235,242.62831115722656,-17.977108001708984,15.180164337158203,-17.977108001708984,-23.207504272460938
Someone covered a window using curtains.,probable,1.0,0.0,0.0,0.0,232.7229461669922,-17.239879608154297,13.686286926269531,-17.239879608154297,-24.99193572998047
Someone crafted a bowl out of smoke.,impossible,0.0,0.0606060606060606,0.6666666666666666,0.2727272727272727,287.21014404296875,-15.75080394744873,15.054073333740234,-15.75080394744873,-23.486896514892578
Someone crafted a bowl out of mud.,improbable,0.4358974358974359,0.4615384615384615,0.1025641025641025,0.0,282.11309814453125,-17.50444221496582,14.14859676361084,-17.50444221496582,-27.61195182800293
Someone crafted a bowl out of math.,inconceivable,0.0,0.0,0.1794871794871795,0.8205128205128205,297.0514221191406,-14.203168869018555,15.226984024047852,-14.203168869018555,-23.364683151245117
Someone crafted a bowl out of clay.,probable,0.9736842105263158,0.0,0.0263157894736842,0.0,262.1368408203125,-18.03158950805664,14.648717880249023,-18.03158950805664,-26.968870162963867
Someone boiled water using a refrigerator.,impossible,0.0,0.0,0.8936170212765957,0.1063829787234042,307.31982421875,-16.873409271240234,13.194067001342773,-16.873409271240234,-21.439754486083984
Someone boiled water using a microwave.,improbable,0.9615384615384616,0.0384615384615384,0.0,0.0,289.56146240234375,-17.721559524536133,12.644768714904785,-17.721559524536133,-23.431072235107422
Someone boiled water using justice.,inconceivable,0.0,0.0,0.0697674418604651,0.9302325581395348,253.3106689453125,-12.830862045288086,15.870315551757812,-12.830862045288086,-15.892036437988281
Someone boiled water using a kettle.,probable,1.0,0.0,0.0,0.0,262.6070251464844,-18.211044311523438,12.839374542236328,-18.211044311523438,-24.10122299194336
Someone crushed a soda can using a tissue.,impossible,0.0,0.2,0.7428571428571429,0.0571428571428571,256.31591796875,-15.100658416748047,10.751468658447266,-15.100658416748047,-21.493865966796875
Someone crushed a soda can using a chair.,improbable,0.4634146341463415,0.5365853658536586,0.0,0.0,174.26028442382812,-15.844026565551758,9.91430950164795,-15.844026565551758,-24.45493507385254
Someone crushed a soda can using a day.,inconceivable,0.0,0.0,0.073170731707317,0.926829268292683,198.84727478027344,-12.428897857666016,13.635597229003906,-12.428897857666016,-16.688941955566406
Someone crushed a soda can using a shoe.,probable,0.8125,0.15625,0.03125,0.0,233.04849243164062,-14.774810791015625,10.080694198608398,-14.774810791015625,-22.017526626586914
