sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,0.8053023219108582,-0.5827125906944275,-11.780519485473633,-0.5827125906944275,-7.810215473175049
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,2.3992421627044678,-1.3118658065795898,-11.242328643798828,-1.3118658065795898,-7.897646427154541
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,2.7050459384918213,4.212897777557373,-0.5381198525428772,4.212897777557373,3.6765975952148438
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-2.5261623859405518,-2.3436455726623535,-11.771797180175781,-2.3436455726623535,-9.142861366271973
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,1.6838719844818115,2.996026039123535,-6.730947494506836,2.996026039123535,-6.477252960205078
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,0.4693494439125061,-1.2570383548736572,-10.27358627319336,-1.2570383548736572,-8.364418029785156
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,1.570815086364746,3.5144171714782715,-0.7301153540611267,3.5144171714782715,2.273974895477295
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-2.257204055786133,-3.2159719467163086,-10.917223930358887,-3.2159719467163086,-9.23949909210205
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,0.31876227259635925,-0.8302402496337891,-11.138404846191406,-0.8302402496337891,-7.890658855438232
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-0.08939388394355774,-2.0858511924743652,-10.186856269836426,-2.0858511924743652,-7.779204845428467
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,0.8914398550987244,3.2245852947235107,2.773561954498291,3.2245852947235107,6.290455341339111
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-2.529048204421997,-3.8184101581573486,-11.435758590698242,-3.8184101581573486,-9.69540786743164
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,0.7210502624511719,-0.9715203046798706,-11.556655883789062,-0.9715203046798706,-8.17106819152832
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,-0.22658012807369232,1.070046067237854,-8.176445007324219,1.070046067237854,-6.708660125732422
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,-0.48789986968040466,-0.3711954951286316,-2.7355756759643555,-0.3711954951286316,-0.16442352533340454
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-3.060380458831787,-3.188527822494507,-10.547011375427246,-3.188527822494507,-8.338557243347168
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,0.6701241731643677,1.4459893703460693,-7.339292049407959,1.4459893703460693,-6.570757865905762
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,-2.3190860748291016,-3.1392903327941895,-11.946374893188477,-3.1392903327941895,-9.788261413574219
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,1.9140653610229492,1.098811149597168,-5.605525970458984,1.098811149597168,-2.8224081993103027
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,-2.7157421112060547,-3.789757490158081,-11.496660232543945,-3.789757490158081,-10.154157638549805
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,0.8848252296447754,1.7062783241271973,-5.494958877563477,1.7062783241271973,-4.253962993621826
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,-0.5488126873970032,-2.333522319793701,-10.288822174072266,-2.333522319793701,-7.587242603302002
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,0.7894370555877686,1.0291674137115479,-3.030959129333496,1.0291674137115479,0.2556474804878235
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,-2.1465682983398438,-3.4558920860290527,-9.556488037109375,-3.4558920860290527,-7.951362609863281
Someone constructed a tower out of sparks.,impossible,0.0,0.0256410256410256,0.4871794871794871,0.4871794871794871,1.0204858779907227,0.9378865957260132,-8.465812683105469,0.9378865957260132,-4.315472602844238
Someone constructed a tower out of bubbles.,improbable,0.05,0.275,0.6,0.075,0.0323781818151474,-1.128909707069397,-11.723424911499023,-1.128909707069397,-8.092288970947266
Someone constructed a tower out of seasons.,inconceivable,0.0,0.0294117647058823,0.1176470588235294,0.8529411764705882,2.6661272048950195,4.226690292358398,-0.2660614848136902,4.226690292358398,2.2789134979248047
Someone constructed a tower out of blocks.,probable,1.0,0.0,0.0,0.0,-3.189743995666504,-2.9653239250183105,-11.468267440795898,-2.9653239250183105,-9.044739723205566
Someone cooked dinner out of the moon.,impossible,0.0,0.0,0.1891891891891892,0.8108108108108109,3.3683154582977295,3.360586404800415,-4.660162925720215,3.360586404800415,-1.40164053440094
Someone cooked dinner out of insects.,improbable,0.2121212121212121,0.7878787878787878,0.0,0.0,2.108039379119873,-0.6066337823867798,-7.386179447174072,-0.6066337823867798,-5.993710994720459
