sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,-98.06354753163585,-15.601641347867691,75.81383319009488,-15.601641347867691,-145.7513578516287
Someone is about to be born with 2 feet.,possible,1.0,0.0,-104.06304908893662,-47.61968879119608,53.62927186381475,-47.61968879119608,-118.87809138872149
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,-32.09407372270823,71.2626057542897,46.11868033776012,71.2626057542897,-93.3182756645007
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-278.2013649670429,-162.44145823328518,72.17270821242943,-162.44145823328518,-225.60706538337112
Someone is about to clean a car.,possible,1.0,0.0,-363.23527006927964,-251.07798281005162,79.15376225402895,-251.07798281005162,-221.6893256276059
Someone is about to clean a cloud.,impossible,0.05,0.95,-209.63852731807475,-102.81037667781354,72.41627319760423,-102.81037667781354,-154.61259470186204
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-292.82511010983814,-206.0571005567082,72.84686999992078,-206.0571005567082,-197.941233755752
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-330.7245999522552,-141.51834530897108,81.60507017725917,-141.51834530897108,-234.41454924495437
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,-261.2584569487433,-95.71721934033609,82.58891620693976,-95.71721934033609,-205.80843427047796
Someone is about to count all of the students in a room.,possible,1.0,0.0,-377.89053905611604,-269.8678364918551,76.78258052830033,-269.8678364918551,-238.84943827602274
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-393.09002532222723,-295.32138468527023,72.3912614789031,-295.32138468527023,-207.0242869657535
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-324.296156733436,-215.1213276111248,98.477117592306,-215.1213276111248,-246.02087107693748
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,-406.1685209140574,-248.19800685338697,70.97339963323726,-248.19800685338697,-242.42831308463224
Someone is about to eat a lollipop.,possible,1.0,0.0,-324.67149807069956,-194.56711511631804,100.0375234927551,-194.56711511631804,-236.47941579734317
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,-291.64742816668496,-201.1905557443886,91.61203827211898,-201.1905557443886,-223.40347162668598
Someone is about to eat a planet.,impossible,0.025,0.975,-215.34939906660418,-75.78211451348946,84.78473457953699,-75.78211451348946,-193.20390760744252
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,-310.1571674002338,-128.70130714357356,94.18183073914692,-128.70130714357356,-213.07496969027102
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,-428.5558690736059,-275.14967277683394,110.51019141676004,-275.14967277683394,-290.6536582734361
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,-397.1312590676275,-287.3453420111613,98.63145144859031,-287.3453420111613,-278.9186418060971
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,-382.68843197041843,-219.39619929665352,95.8700691807764,-219.39619929665352,-254.43804762672175
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,-387.7682640473496,-212.26265490591115,61.81971393783901,-212.26265490591115,-218.31283102907383
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,-329.92777462285903,-117.14978625597163,89.49971530182472,-117.14978625597163,-256.006700254963
Someone is about to find a sweater in a closet.,possible,1.0,0.0,-330.9423842275675,-159.1754337877337,93.57516673788322,-159.1754337877337,-271.0825605348379
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,-353.0199592351733,-157.5260865904896,99.26624173572026,-157.5260865904896,-269.04046231863606
Someone is about to have a cat as a pet.,possible,1.0,0.0,-276.1864525473828,-130.19793610788244,95.94907406671604,-130.19793610788244,-238.68651975533072
