sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-4.787555106274106,0.7195709919916178,-20.634121040568274,0.7195709919916178,-3.4144930309622734
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,-7.681716607484001,2.892035454263907,-16.74129537504275,2.892035454263907,-4.632486151681114
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,-3.9458304512455546,10.441322956302656,-23.159273907771073,10.441322956302656,-3.524828505313418
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-9.484759152730303,-2.647947725292589,-18.356062830794453,-2.647947725292589,-5.409949740181691
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,-2.6613497651290725,2.8316651281175207,-24.183705297538353,2.8316651281175207,-5.090131793284445
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,-2.040808468962739,1.773367594768736,-13.66962417280396,1.773367594768736,-5.585528776017771
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-11.132271357531014,0.18407215199384286,-15.234524495929573,0.18407215199384286,-4.220090695302114
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-20.046098695744742,-1.3792681009251844,-21.637511190061883,-1.3792681009251844,-5.272854585710332
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,-14.195037085959818,12.954242359039423,-46.72328956642299,12.954242359039423,-1.8747102952914745
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-10.633189433041991,6.349836037952494,-33.47226541397964,6.349836037952494,-3.141162466121017
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,-22.031550852500395,10.210016074295705,-20.51871238502258,10.210016074295705,-2.1572649251476053
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-1.099886539203668,-7.045165994911888,-32.38475665167027,-7.045165994911888,-3.724308304806947
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,-4.431001150693064,10.449337779063338,-26.386123951637313,10.449337779063338,-2.8386554557694215
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,-8.813177361170718,9.57183723513224,-29.667923738554784,9.57183723513224,-4.054488871043654
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,-4.789890340895728,1.93334535239664,-9.179822255755038,1.93334535239664,-0.3884917535041654
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-9.862279137834692,-6.816524425261212,-19.336139864480042,-6.816524425261212,-4.110973360834312
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,5.085961078850684,2.1329223751517183,-3.588822602634412,2.1329223751517183,-4.120951964108173
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,7.883957702297389,-7.842937860638854,1.2936064285335158,-7.842937860638854,-4.701634635185143
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,1.3419914672779112,12.97872275264847,-9.610399600544962,12.97872275264847,-3.387829037219623
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,2.856171072395,-5.405691882063493,-0.8789708774157381,-5.405691882063493,-4.351725875534356
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,-5.849788515807045,12.976075483622846,-20.306009823473378,12.976075483622846,-3.9108245556365593
